name,class,level,power,price,date
乇яфs メ 信条,arbalist,142,321708,550,2025-06-22
ク ロ ス ボ ウ,taoist,85,102142,34,2025-06-22
亗 Gunner 亗,arbalist,140,300024,299,2025-06-22
waharaa,sorcerer,81,100378,34,2025-06-22
taldodavid,arbalist,131,241024,240,2025-06-22
deletadinha,sorcerer,123,188687,145,2025-06-22
Doutor Bacon,warrior,119,193269,140,2025-06-22
巅峰丶SEIDY,warrior,146,355790,1333,2025-06-22
Matrafuski,arbalist,143,369444,2700,2025-06-22
名门ⓈⓅ Eazy メ,taoist,138,322111,900,2025-06-22
CycloneStron,sorcerer,110,208183,100,2025-06-22
Klakiero,arbalist,144,348879,1150,2025-06-22
E5EVC46ULT10,taoist,153,385118,3587,2025-06-22
ョyY,warrior,130,313507,750,2025-06-22
WG丶Hiyóri猫,arbalist,135,307252,330,2025-06-22
NoメName,taoist,149,355001,2100,2025-06-22
karma24,warrior,140,329418,650,2025-06-22
xTati,sorcerer,120,192263,100,2025-06-22
MeiaNoiteGP,taoist,142,330229,1400,2025-06-22
LoRdxLeGoLaS,arbalist,162,486784,9950,2025-06-22
MsHannah01,sorcerer,110,138663,42,2025-06-22
Aquininha,sorcerer,101,155240,59,2025-06-22
nikoJR00,sorcerer,105,152181,40,2025-06-22
Amy大女婴,sorcerer,151,361778,1400,2025-06-22
・Atreus・,arbalist,142,327123,510,2025-06-22
ICEBUFF10HGC,sorcerer,143,350243,1833,2025-06-22
弹力 Carioca,warrior,145,335133,811,2025-06-22
37CriEvaDck3,taoist,132,281926,260,2025-06-22
chipka,arbalist,142,314557,1190,2025-06-22
Rockafellaシ,arbalist,141,337061,950,2025-06-22
Sapo Renatão,warrior,151,383088,2200,2025-06-22
ZàiHóngsè ヌ,arbalist,141,315088,595,2025-06-22
・TàbàChôi・ツ,warrior,135,299050,450,2025-06-22
LeniLutang,sorcerer,120,172610,130,2025-06-22
CABECINHAS2,arbalist,136,314790,400,2025-06-22
2Pet1BookFr,taoist,152,388453,3900,2025-06-22
대 WP Paka,taoist,153,400665,3700,2025-06-22
Везун4ик,lancer,91,144116,55,2025-06-22
Axxiss・,darkist,137,303841,492,2025-06-22
亗ⓋⓔⓃⓞⓂ亗,arbalist,139,296465,450,2025-06-22
MsHannah01,sorcerer,110,138663,42,2025-06-22
Aquininha,sorcerer,101,155240,59,2025-06-22
nikoJR00,sorcerer,105,152181,40,2025-06-22
Amy大女婴,sorcerer,151,361778,1400,2025-06-22
・Atreus・,arbalist,142,327123,510,2025-06-22
ICEBUFF10HGC,sorcerer,143,350243,1833,2025-06-22
弹力 Carioca,warrior,145,335133,811,2025-06-22
37CriEvaDck3,taoist,132,281926,260,2025-06-22
chipka,arbalist,142,314557,1190,2025-06-22
Rockafellaシ,arbalist,141,337061,950,2025-06-22
Sapo Renatão,warrior,151,383088,2200,2025-06-22
ZàiHóngsè ヌ,arbalist,141,315088,595,2025-06-22
・TàbàChôi・ツ,warrior,135,299050,450,2025-06-22
LeniLutang,sorcerer,120,172610,130,2025-06-22
CABECINHAS2,arbalist,136,314790,400,2025-06-22
2Pet1BookFr,taoist,152,388453,3900,2025-06-22
대 WP Paka,taoist,153,400665,3700,2025-06-22
Везун4ик,lancer,91,144116,55,2025-06-22
Axxiss・,darkist,137,303841,492,2025-06-22
亗ⓋⓔⓃⓞⓂ亗,arbalist,139,296465,450,2025-06-22
MsHannah01,sorcerer,110,138663,42,2025-06-22
Aquininha,sorcerer,101,155240,59,2025-06-22
nikoJR00,sorcerer,105,152181,40,2025-06-22
